title,rank,rating,director,year,main_cast,url,img
In the Name of the Father,188,8.1,Jim Sheridan,1993,"Daniel Day-Lewis, Pete Postlethwaite",/title/tt0107207/,"https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Sunrise,189,8.1,F.W. Murnau,1927,"George O'Brien, Janet Gaynor",/title/tt0018455/,"https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Stand by Me,190,8.1,Rob Reiner,1986,"Wil Wheaton, River Phoenix",/title/tt0092005/,"https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
It Happened One Night,191,8.1,Frank Capra,1934,"Clark Gable, Claudette Colbert",/title/tt0025316/,"https://m.media-amazon.com/images/M/MV5BZmViYmM5OTYtNGQ4Ny00YjQyLThiNjEtYTE4MGZhZTNmZjcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Memories of Murder,192,8.1,Joon-ho Bong,2003,"Kang-ho Song, Sang-kyung Kim",/title/tt0353969/,"https://m.media-amazon.com/images/M/MV5BZWYyYTk5ODQtNjFjZi00ZDFlLWEwNGEtNGQwZTdmYWRhNmU3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Platoon,193,8.1,Oliver Stone,1986,"Charlie Sheen, Tom Berenger",/title/tt0091763/,"https://m.media-amazon.com/images/M/MV5BM2Y1NTQyNWYtNDViNy00ZWRhLTk3MTMtOTI3ZGQ5MDFiNWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Into the Wild,194,8.1,Sean Penn,2007,"Emile Hirsch, Vince Vaughn",/title/tt0758758/,"https://m.media-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Network,195,8.1,Sidney Lumet,1976,"Faye Dunaway, William Holden",/title/tt0074958/,"https://m.media-amazon.com/images/M/MV5BNmFiOWY3ZTktOTYwNy00ZTUzLTk0ODQtNzIxMzQ0ZDFjMTgyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Monty Python's Life of Brian,196,8.1,Terry Jones,1979,"Graham Chapman, John Cleese",/title/tt0079470/,"https://m.media-amazon.com/images/M/MV5BMzAwNjU1OTktYjY3Mi00NDY5LWFlZWUtZjhjNGE0OTkwZDkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Persona,197,8.1,Ingmar Bergman,1966,"Bibi Andersson, Liv Ullmann",/title/tt0060827/,"https://m.media-amazon.com/images/M/MV5BYzI1ZjUwYmEtNWNmNS00NjgyLTlhNmUtNjA2YmFhYmIyMzVkXkEyXkFqcGdeQXVyMTA2ODMzMDU@._V1_UY67_CR1,0,45,67_AL_.jpg"
Ben-Hur,198,8.1,William Wyler,1959,"Charlton Heston, Jack Hawkins",/title/tt0052618/,"https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
12 Years a Slave,199,8.1,Steve McQueen,2013,"Chiwetel Ejiofor, Michael Kenneth Williams",/title/tt2024544/,"https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Million Dollar Baby,200,8.1,Clint Eastwood,2004,"Hilary Swank, Clint Eastwood",/title/tt0405159/,"https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Before Sunrise,201,8.1,Richard Linklater,1995,"Ethan Hawke, Julie Delpy",/title/tt0112471/,"https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Hotel Rwanda,202,8.1,Terry George,2004,"Don Cheadle, Sophie Okonedo",/title/tt0395169/,"https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
Prisoners,203,8.1,Denis Villeneuve,2013,"Hugh Jackman, Jake Gyllenhaal",/title/tt1392214/,"https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Mad Max: Fury Road,204,8.1,George Miller,2015,"Tom Hardy, Charlize Theron",/title/tt1392190/,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Bandit,205,8.1,Yavuz Turgul,1996,"Sener Sen, Ugur Yücel",/title/tt0116231/,"https://m.media-amazon.com/images/M/MV5BOGQ4ZjFmYjktOGNkNS00OWYyLWIyZjgtMGJjM2U1ZTA0ZTlhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Logan,206,8.1,James Mangold,2017,"Hugh Jackman, Patrick Stewart",/title/tt3315342/,"https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
Hachi: A Dog's Tale,207,8.1,Lasse Hallström,2009,"Richard Gere, Joan Allen",/title/tt1028532/,"https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR1,0,45,67_AL_.jpg"
Rush,208,8.1,Ron Howard,2013,"Daniel Brühl, Chris Hemsworth",/title/tt1979320/,"https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Wages of Fear,209,8.1,Henri-Georges Clouzot,1953,"Yves Montand, Charles Vanel",/title/tt0046268/,"https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Catch Me If You Can,210,8.1,Steven Spielberg,2002,"Leonardo DiCaprio, Tom Hanks",/title/tt0264464/,"https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_UY67_CR0,0,45,67_AL_.jpg"
The 400 Blows,211,8.1,François Truffaut,1959,"Jean-Pierre Léaud, Albert Rémy",/title/tt0053198/,"https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR2,0,45,67_AL_.jpg"
Spotlight,212,8.1,Tom McCarthy,2015,"Mark Ruffalo, Michael Keaton",/title/tt1895587/,"https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Neon Genesis Evangelion: The End of Evangelion,213,8.1,Hideaki Anno,1997,"Megumi Ogata, Megumi Hayashibara",/title/tt0169858/,"https://m.media-amazon.com/images/M/MV5BOTFhODJjMzktNDhjMy00MmM4LWI5NWQtMDdhOGU1NzYxNzE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Amores Perros,214,8.1,Alejandro G. Iñárritu,2000,"Emilio Echevarría, Gael García Bernal",/title/tt0245712/,"https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UY67_CR0,0,45,67_AL_.jpg"
Andrei Rublev,215,8.1,Andrei Tarkovsky,1966,"Anatoliy Solonitsyn, Ivan Lapikov",/title/tt0060107/,"https://m.media-amazon.com/images/M/MV5BMjhkN2Q3MzctNzJiOC00OTc5LWIwOWYtNWRiYWUyMDk0MGZiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Harry Potter and the Deathly Hallows: Part 2,216,8.1,David Yates,2011,"Daniel Radcliffe, Emma Watson",/title/tt1201607/,"https://m.media-amazon.com/images/M/MV5BMjIyZGU4YzUtNDkzYi00ZDRhLTljYzctYTMxMDQ4M2E0Y2YxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Nausicaä of the Valley of the Wind,217,8.0,Hayao Miyazaki,1984,"Sumi Shimamoto, Mahito Tsujimura",/title/tt0087544/,"https://m.media-amazon.com/images/M/MV5BODJiNmUzYmQtZTNhNS00NjY0LThmYjMtOTliOTM1NTdkYzY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Passion of Joan of Arc,218,8.0,Carl Theodor Dreyer,1928,"Maria Falconetti, Eugene Silvain",/title/tt0019254/,"https://m.media-amazon.com/images/M/MV5BMTFkYjg3ZjMtMWMwMC00ZTFhLThlNjgtYTQ2YzlkZGI5MWVmXkEyXkFqcGdeQXVyNTA2NDc4OA@@._V1_UY67_CR1,0,45,67_AL_.jpg"
The Princess Bride,219,8.0,Rob Reiner,1987,"Cary Elwes, Mandy Patinkin",/title/tt0093779/,"https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_UY67_CR0,0,45,67_AL_.jpg"
Barry Lyndon,220,8.0,Stanley Kubrick,1975,"Ryan O'Neal, Marisa Berenson",/title/tt0072684/,"https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"
Rocky,221,8.0,John G. Avildsen,1976,"Sylvester Stallone, Talia Shire",/title/tt0075148/,"https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Butch Cassidy and the Sundance Kid,222,8.0,George Roy Hill,1969,"Paul Newman, Robert Redford",/title/tt0064115/,"https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Rang De Basanti,223,8.0,Rakeysh Omprakash Mehra,2006,"Aamir Khan, Soha Ali Khan",/title/tt0405508/,"https://m.media-amazon.com/images/M/MV5BM2I3OGU1YmQtNjIyOC00OGYzLWFkOTgtOGIyMDVlNmE2M2VmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR1,0,45,67_AL_.jpg"
"Monsters, Inc.",224,8.0,Pete Docter,2001,"Billy Crystal, John Goodman",/title/tt0198781/,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Dead Poets Society,225,8.0,Peter Weir,1989,"Robin Williams, Robert Sean Leonard",/title/tt0097165/,"https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Grapes of Wrath,226,8.0,John Ford,1940,"Henry Fonda, Jane Darwell",/title/tt0032551/,"https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Terminator,227,8.0,James Cameron,1984,"Arnold Schwarzenegger, Linda Hamilton",/title/tt0088247/,"https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Maltese Falcon,228,8.0,John Huston,1941,"Humphrey Bogart, Mary Astor",/title/tt0033870/,"https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
The Handmaiden,229,8.0,Chan-wook Park,2016,"Min-hee Kim, Jung-woo Ha",/title/tt4016934/,"https://m.media-amazon.com/images/M/MV5BNTE3NTI2NzE3OV5BMl5BanBnXkFtZTgwNDEzMjc4ODE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Gandhi,230,8.0,Richard Attenborough,1982,"Ben Kingsley, John Gielgud",/title/tt0083987/,"https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX45_CR0,0,45,67_AL_.jpg"
La Haine,231,8.0,Mathieu Kassovitz,1995,"Vincent Cassel, Hubert Koundé",/title/tt0113247/,"https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"
In the Mood for Love,232,8.0,Kar-Wai Wong,2000,"Tony Chiu-Wai Leung, Maggie Cheung",/title/tt0118694/,"https://m.media-amazon.com/images/M/MV5BYjZjODRlMjQtMjJlYy00ZDBjLTkyYTQtZGQxZTk5NzJhYmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR1,0,45,67_AL_.jpg"
Donnie Darko,233,8.0,Richard Kelly,2001,"Jake Gyllenhaal, Jena Malone",/title/tt0246578/,"https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX45_CR0,0,45,67_AL_.jpg"
Groundhog Day,234,8.0,Harold Ramis,1993,"Bill Murray, Andie MacDowell",/title/tt0107048/,"https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
Diabolique,235,8.0,Henri-Georges Clouzot,1955,"Simone Signoret, Véra Clouzot",/title/tt0046911/,"https://m.media-amazon.com/images/M/MV5BOTc1OGQzMjMtNTkxYy00OTBlLWJmZjMtYWQ4NzZjNDE1YjkxXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY67_CR2,0,45,67_AL_.jpg"
The Help,236,8.0,Tate Taylor,2011,"Emma Stone, Viola Davis",/title/tt1454029/,"https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Wizard of Oz,237,8.0,Victor Fleming,1939,"Judy Garland, Frank Morgan",/title/tt0032138/,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX45_CR0,0,45,67_AL_.jpg"
Guardians of the Galaxy,238,8.0,James Gunn,2014,"Chris Pratt, Vin Diesel",/title/tt2015381/,"https://m.media-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_UY67_CR0,0,45,67_AL_.jpg"
Jaws,239,8.0,Steven Spielberg,1975,"Roy Scheider, Robert Shaw",/title/tt0073195/,"https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Raise the Red Lantern,240,8.0,Yimou Zhang,1991,"Li Gong, Jingwu Ma",/title/tt0101640/,"https://m.media-amazon.com/images/M/MV5BYjNiMDAyOTUtNTg5Ny00NTE4LThlZmYtYmNlNjUwOTlmNWZhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"
Before Sunset,241,8.0,Richard Linklater,2004,"Ethan Hawke, Julie Delpy",/title/tt0381681/,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_UY67_CR0,0,45,67_AL_.jpg"
Castle in the Sky,242,8.0,Hayao Miyazaki,1986,"Anna Paquin, James Van Der Beek",/title/tt0092067/,"https://m.media-amazon.com/images/M/MV5BNTg0NmI1ZGQtZTUxNC00NTgxLThjMDUtZmRlYmEzM2MwOWYwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY67_CR1,0,45,67_AL_.jpg"
Pirates of the Caribbean: The Curse of the Black Pearl,243,8.0,Gore Verbinski,2003,"Johnny Depp, Geoffrey Rush",/title/tt0325980/,"https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX45_CR0,0,45,67_AL_.jpg"
"Paris, Texas",244,8.0,Wim Wenders,1984,"Harry Dean Stanton, Nastassja Kinski",/title/tt0087884/,"https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX45_CR0,0,45,67_AL_.jpg"
Beauty and the Beast,245,8.0,Gary Trousdale,1991,"Paige O'Hara, Robby Benson",/title/tt0101414/,"https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Akira,246,8.0,Katsuhiro Ôtomo,1988,"Mitsuo Iwata, Nozomu Sasaki",/title/tt0094625/,"https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg"
The Exorcist,247,8.0,William Friedkin,1973,"Ellen Burstyn, Max von Sydow",/title/tt0070047/,"https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Dog Day Afternoon,248,8.0,Sidney Lumet,1975,"Al Pacino, John Cazale",/title/tt0072890/,"https://m.media-amazon.com/images/M/MV5BMzljMjBhODItYTYyYi00NzMwLTkyZDQtNjQ4MWU0MzhmNDU4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX45_CR0,0,45,67_AL_.jpg"
Song of the Sea,249,8.0,Tomm Moore,2014,"David Rawle, Brendan Gleeson",/title/tt1865505/,"https://m.media-amazon.com/images/M/MV5BMTQ2MDMwNjEwNV5BMl5BanBnXkFtZTgwOTkxMzI0MzE@._V1_UY67_CR0,0,45,67_AL_.jpg"
Three Colors: Red,250,8.0,Krzysztof Kieslowski,1994,"Irène Jacob, Jean-Louis Trintignant",/title/tt0111495/,"https://m.media-amazon.com/images/M/MV5BYTg1MmNiMjItMmY4Yy00ZDQ3LThjMzYtZGQ0ZTQzNTdkMGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX45_CR0,0,45,67_AL_.jpg"
